invoice_id,vendor_id,vendor_name,invoice_number,invoice_date,due_date,invoice_amount,currency,status,created_at,payment_batch_id
1001,V001,ABC Supplies,INV-1001,2026-04-01,2026-04-30,25000.00,INR,Pending Approval,2026-04-02 10:15:00,
1002,V002,Global Tech Services,GT-4587,2026-04-03,2026-05-03,87500.00,INR,Approved,2026-04-04 11:20:00,
1003,V001,ABC Supplies,INV-1001,2026-04-01,2026-04-30,25000.00,INR,Pending Approval,2026-04-05 09:30:00,
1004,V003,Sunrise Logistics,SL-7782,2026-04-04,2026-04-19,14200.00,INR,Approved,2026-04-05 15:05:00,
1005,V004,FinEdge Consulting,FE-2201,2026-04-05,2026-05-05,56000.00,INR,Pending Approval,2026-04-06 08:45:00,
1006,V005,NorthStar Office,NS-9033,2026-04-06,2026-05-06,9700.00,INR,Approved,2026-04-07 12:12:00,
1007,V002,Global Tech Services,GT-4587,2026-04-03,2026-05-03,87500.00,INR,Payment Hold,2026-04-07 13:00:00,
1008,V006,Metro Maintenance,MM-4412,2026-04-07,2026-04-22,18300.00,INR,Approved,2026-04-08 16:40:00,
1009,V007,Prime Packaging,PP-5520,2026-04-08,2026-05-08,31500.00,INR,Paid,2026-04-09 10:10:00,PB-0426-01
1010,V007,Prime Packaging,PP-5520,2026-04-08,2026-05-08,31500.00,INR,Pending Approval,2026-04-10 09:55:00,
1011,V008,BlueWave Utilities,BWU-1110,2026-04-09,2026-04-24,22450.00,INR,Approved,2026-04-10 11:01:00,
1012,V009,CloudNet India,CN-90210,2026-04-10,2026-05-10,120000.00,INR,Pending Approval,2026-04-11 14:17:00,
1013,V009,CloudNet India,CN-90210,2026-04-10,2026-05-10,120000.00,INR,Pending Approval,2026-04-12 10:23:00,
1014,V010,Sigma Stationery,SS-7631,2026-04-11,2026-05-11,6800.00,INR,Approved,2026-04-12 17:30:00,
1015,V011,Rapid Courier,RC-6690,2026-04-12,2026-04-27,15100.00,INR,Pending Approval,2026-04-13 09:00:00,
1016,V012,Urban Facility Services,UFS-3411,2026-04-13,2026-04-28,41000.00,INR,Approved,2026-04-14 10:35:00,
1017,V013,Alpha Marketing,AM-2026-04,2026-04-14,2026-05-14,30000.00,INR,Pending Approval,2026-04-15 13:45:00,
1018,V013,Alpha Marketing,AM-2026-04,2026-04-15,2026-05-15,30000.00,INR,Pending Approval,2026-04-16 09:30:00,
1019,V014,Bright Security,BS-3344,2026-04-16,2026-05-01,44500.00,INR,Approved,2026-04-17 11:44:00,
1020,V015,Delta Hardware,DH-8842,2026-04-17,2026-05-17,9900.00,INR,Pending Approval,2026-04-18 08:20:00,
